Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	File Offset (s)		KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
125	Spectrogram 1	1	17143.109920000	17143.430270000	547.684	1307.902	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	ST3_Site5_67371018.220517231702.wav	41.7118	119	X	0	1	X	Y		
126	Spectrogram 1	1	18008.482400000	18011.095470000	16.393	1631.148	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517233202.wav	ST3_Site5_67371018.220517233202.wav	6.9521	120	X	3	3	Y	BY		
127	Spectrogram 1	1	18012.259040000	18012.566830000	32.787	1418.033	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517233202.wav	ST3_Site5_67371018.220517233202.wav	10.7287	121	Y	1	1	X	BY		
128	Spectrogram 1	1	18014.771610000	18015.167340000	81.967	1442.623	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517233202.wav	ST3_Site5_67371018.220517233202.wav	13.2413	122	Y	1	1	X	BY		
129	Spectrogram 1	1	18013.640950000	18013.936180000	745.902	1319.672	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517233202.wav	ST3_Site5_67371018.220517233202.wav	12.1106	123	X	0	1	X	Y		
130	Spectrogram 1	1	18015.269950000	18017.336530000	0.000	1614.754	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517233202.wav	ST3_Site5_67371018.220517233202.wav	13.7396	124	Y	4	4	Y	BY		
132	Spectrogram 1	1	18017.704720000	18019.319040000	122.951	1254.098	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517233202.wav	ST3_Site5_67371018.220517233202.wav	16.1744	125	Y	4	1	Y	BY		
133	Spectrogram 1	1	18780.670990000	18781.305420000	122.951	409.836	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517234202.wav	ST3_Site5_67371018.220517234202.wav	179.1058	126	Y	1	0	X	G		
134	Spectrogram 1	1	20273.743450000	20273.969580000	909.836	1237.705	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	ST3_Site5_67371018.220518000702.wav	172.0676	127	X	0	1	Y	Y		
135	Spectrogram 1	1	20274.723350000	20274.999730000	950.820	1319.672	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	ST3_Site5_67371018.220518000702.wav	173.0475	128	X	0	1	Y	Y		
136	Spectrogram 1	1	20280.769550000	20281.202960000	57.377	1344.262	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	ST3_Site5_67371018.220518000702.wav	179.0937	129	Y	1	1	X	BY		
137	Spectrogram 1	1	20282.394080000	20282.714430000	868.852	1500.000	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	ST3_Site5_67371018.220518000702.wav	180.7183	130	X	0	1	X	Y		
138	Spectrogram 1	1	20284.882500000	20286.377480000	73.770	1459.016	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	ST3_Site5_67371018.220518000702.wav	183.2067	131	Y	4	1	X	BY		
139	Spectrogram 1	1	20286.647580000	20287.200340000	114.754	1409.836	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	ST3_Site5_67371018.220518000702.wav	184.9717	132	Y	1	1	X	BY		
140	Spectrogram 1	1	20287.514410000	20287.822200000	106.557	1336.066	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	ST3_Site5_67371018.220518000702.wav	185.8386	133	Y	1	1	X	BY		
141	Spectrogram 1	1	20289.241800000	20290.033260000	106.557	1532.787	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	ST3_Site5_67371018.220518000702.wav	187.5660	134	Y	2	2	X	BY		
142	Spectrogram 1	1	20288.412660000	20288.613660000	786.885	1139.344	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	ST3_Site5_67371018.220518000702.wav	186.7368	135	X	0	1	X	Y		
143	Spectrogram 1	1	20921.129120000	20921.462040000	1032.787	1680.328	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518001702.wav	ST3_Site5_67371018.220518001702.wav	219.3928	136	X	0	1	X	Y		
144	Spectrogram 1	1	21024.648820000	21024.805860000	754.098	1131.148	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518002202.wav	ST3_Site5_67371018.220518002202.wav	22.9298	137	X	0	1	X	Y		
145	Spectrogram 1	1	21025.911390000	21026.275710000	786.885	1172.131	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518002202.wav	ST3_Site5_67371018.220518002202.wav	24.1924	138	X	0	1	X	Y		
146	Spectrogram 1	1	21445.985630000	21446.607490000	573.770	1196.721	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518002702.wav	ST3_Site5_67371018.220518002702.wav	144.1998	139	X	0	1	Y	Y		
147	Spectrogram 1	1	21447.097440000	21447.505730000	606.557	1336.066	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518002702.wav	ST3_Site5_67371018.220518002702.wav	145.3116	140	X	0	1	Y	Y		
148	Spectrogram 1	1	21534.213860000	21534.433710000	737.705	1336.066	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518002702.wav	ST3_Site5_67371018.220518002702.wav	232.4280	141	X	0	1	Y	Y		
149	Spectrogram 1	1	21886.783320000	21887.153920000	770.492	1409.836	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518003202.wav	ST3_Site5_67371018.220518003202.wav	284.9817	142	X	0	1	X	Y		
150	Spectrogram 1	1	21888.636340000	21889.000660000	663.934	1106.557	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518003202.wav	ST3_Site5_67371018.220518003202.wav	286.8347	143	X	0	1	X	Y		
151	Spectrogram 1	1	23568.196200000	23568.535400000	975.410	1631.148	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	ST3_Site5_67371018.220518010202.wav	166.2357	144	X	0	1	X	Y		
152	Spectrogram 1	1	23569.006500000	23569.314290000	959.016	1524.590	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	ST3_Site5_67371018.220518010202.wav	167.0460	145	X	0	1	X	Y		
153	Spectrogram 1	1	23569.659770000	23570.042930000	983.607	1500.000	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	ST3_Site5_67371018.220518010202.wav	167.6993	146	X	0	1	X	Y		
154	Spectrogram 1	1	23572.976350000	23573.171080000	1098.361	1286.885	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	ST3_Site5_67371018.220518010202.wav	171.0159	147	X	0	1	X	Y		
155	Spectrogram 1	1	23571.041680000	23571.255250000	778.689	1254.098	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	ST3_Site5_67371018.220518010202.wav	169.0812	148	X	0	1	X	Y		
156	Spectrogram 1	1	23588.300030000	23588.563850000	778.689	1393.443	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	ST3_Site5_67371018.220518010202.wav	186.3395	149	X	0	1	X	Y		
157	Spectrogram 1	1	23589.436970000	23589.644250000	901.639	1434.426	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	ST3_Site5_67371018.220518010202.wav	187.4765	150	X	0	1	X	Y		
158	Spectrogram 1	1	23593.381690000	23593.626660000	877.049	1491.803	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	ST3_Site5_67371018.220518010202.wav	191.4212	151	X	0	1	X	Y		
159	Spectrogram 1	1	23594.148020000	23595.146770000	827.869	1409.836	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	ST3_Site5_67371018.220518010202.wav	192.1875	152	X	0	3	X	Y		
160	Spectrogram 1	1	23860.797190000	23861.111260000	860.656	1204.918	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010702.wav	ST3_Site5_67371018.220518010702.wav	158.7862	153	X	0	1	X	Y		
161	Spectrogram 1	1	24316.980420000	24317.376140000	754.098	1131.148	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011702.wav	ST3_Site5_67371018.220518011702.wav	14.9744	154	X	0	1	X	Y		
162	Spectrogram 1	1	24526.416060000	24526.673600000	1270.492	1909.836	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011702.wav	ST3_Site5_67371018.220518011702.wav	224.4101	155	X	0	1	X	Y		
163	Spectrogram 1	1	24532.660120000	24532.905100000	1188.525	1950.820	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011702.wav	ST3_Site5_67371018.220518011702.wav	230.6541	156	X	0	1	X	Y		
164	Spectrogram 1	1	25792.416730000	25793.415470000	729.508	1442.623	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518013702.wav	ST3_Site5_67371018.220518013702.wav	290.2617	157	X	0	3	X	Y		
165	Spectrogram 1	1	26075.899120000	26076.250880000	721.311	1262.295	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518014202.wav	ST3_Site5_67371018.220518014202.wav	273.7240	158	X	0	1	X	Y		
166	Spectrogram 1	1	26303.956660000	26304.170230000	1000.000	1516.393	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518014702.wav	ST3_Site5_67371018.220518014702.wav	201.7665	159	X	0	1	X	Y		
167	Spectrogram 1	1	26880.977110000	26881.240930000	467.213	1049.180	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518015702.wav	ST3_Site5_67371018.220518015702.wav	178.7298	160	X	0	1	X	Y		
168	Spectrogram 1	1	26886.033650000	26886.372840000	557.377	1049.180	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518015702.wav	ST3_Site5_67371018.220518015702.wav	183.7863	161	X	0	1	X	Y		
169	Spectrogram 1	1	26884.036160000	26884.400480000	590.164	1303.279	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518015702.wav	ST3_Site5_67371018.220518015702.wav	181.7888	162	X	0	1	X	Y		
170	Spectrogram 1	1	26889.947740000	26890.242970000	696.721	1631.148	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518015702.wav	ST3_Site5_67371018.220518015702.wav	187.7004	163	X	0	1	X	Y		
171	Spectrogram 1	1	26893.405070000	26893.643760000	155.738	1467.213	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518015702.wav	ST3_Site5_67371018.220518015702.wav	191.1577	164	Y	1	0	X	B		
172	Spectrogram 1	1	23577.538870000	23577.834100000	827.869	1459.016	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	ST3_Site5_67371018.220518010202.wav	175.5784	165	X	0	1	X	Y		
173	Spectrogram 1	1	23578.028820000	23578.336610000	991.803	1508.197	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	ST3_Site5_67371018.220518010202.wav	176.0683	166	X	0	1	X	Y		
174	Spectrogram 1	1	23581.791380000	23582.526310000	918.033	1368.852	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	ST3_Site5_67371018.220518010202.wav	179.8309	167	X	0	1	X	Y		
175	Spectrogram 1	1	23583.544500000	23584.970380000	155.738	1532.787	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	ST3_Site5_67371018.220518010202.wav	181.5840	168	Y	3	3	X	BY		
176	Spectrogram 1	1	24144.023430000	24144.469410000	836.066	1540.984	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011202.wav	ST3_Site5_67371018.220518011202.wav	141.9886	169	X	0	1	X	Y		
177	Spectrogram 1	1	24144.595040000	24144.909110000	827.869	1508.197	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011202.wav	ST3_Site5_67371018.220518011202.wav	142.5602	170	X	0	1	X	Y		
178	Spectrogram 1	1	24145.110120000	24145.461880000	959.016	1581.967	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011202.wav	ST3_Site5_67371018.220518011202.wav	143.0753	171	X	0	1	X	Y		
179	Spectrogram 1	1	24145.750820000	24146.008360000	1040.984	1491.803	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011202.wav	ST3_Site5_67371018.220518011202.wav	143.7160	172	X	0	1	X	Y		
180	Spectrogram 1	1	24146.466900000	24146.762130000	991.803	1475.410	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011202.wav	ST3_Site5_67371018.220518011202.wav	144.4321	173	X	0	1	X	Y		
181	Spectrogram 1	1	24147.095040000	24147.440520000	926.230	1344.262	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011202.wav	ST3_Site5_67371018.220518011202.wav	145.0602	174	X	0	1	X	Y		
182	Spectrogram 1	1	24147.635240000	24147.855090000	991.803	1516.393	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011202.wav	ST3_Site5_67371018.220518011202.wav	145.6004	175	X	0	1	X	Y		
183	Spectrogram 1	1	24148.175440000	24148.414140000	1016.393	1426.230	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011202.wav	ST3_Site5_67371018.220518011202.wav	146.1406	176	X	0	1	X	Y		
184	Spectrogram 1	1	24149.362630000	24149.544790000	778.689	1163.934	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011202.wav	ST3_Site5_67371018.220518011202.wav	147.3278	177	X	0	1	X	Y		
185	Spectrogram 1	1	24150.185490000	24150.461880000	877.049	1336.066	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011202.wav	ST3_Site5_67371018.220518011202.wav	148.1507	178	X	0	1	X	Y		
186	Spectrogram 1	1	24307.666680000	24308.137790000	53.030	878.788	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011702.wav	ST3_Site5_67371018.220518011702.wav	5.6607	179	Y	1	1	X	BY		
187	Spectrogram 1	1	24308.778490000	24309.425480000	45.455	704.545	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011702.wav	ST3_Site5_67371018.220518011702.wav	6.7725	180	Y	1	1	X	BY		
188	Spectrogram 1	1	24309.532260000	24311.931760000	75.758	863.636	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011702.wav	ST3_Site5_67371018.220518011702.wav	7.5263	181	Y	4	3	X	BY		
189	Spectrogram 1	1	24312.924600000	24313.138160000	348.485	1507.576	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011702.wav	ST3_Site5_67371018.220518011702.wav	10.9186	182	X	0	1	X	Y		
190	Spectrogram 1	1	26997.655280000	26997.887690000	674.242	992.424	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518015702.wav	ST3_Site5_67371018.220518015702.wav	295.4079	183	X	0	1	X	Y		
191	Spectrogram 1	1	26998.754520000	26999.125120000	651.515	1090.909	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518015702.wav	ST3_Site5_67371018.220518015702.wav	296.5072	184	X	0	1	X	Y		
192	Spectrogram 1	1	26999.998240000	27000.255780000	681.818	1075.758	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518015702.wav	ST3_Site5_67371018.220518015702.wav	297.7509	185	X	0	1	X	Y		
193	Spectrogram 1	1	27832.931190000	27833.760330000	886.364	1363.636	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518021203.wav	ST3_Site5_67371018.220518021203.wav	230.6039	186	X	0	2	X	Y		
194	Spectrogram 1	1	28707.638950000	28708.110050000	628.788	2030.303	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518022703.wav	ST3_Site5_67371018.220518022703.wav	205.2673	187	X	0	1	X	Y		
195	Spectrogram 1	1	28717.203330000	28717.787500000	621.212	1666.667	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518022703.wav	ST3_Site5_67371018.220518022703.wav	214.8317	188	X	0	1	X	Y		
196	Spectrogram 1	1	28719.590260000	28720.168150000	666.667	1613.636	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518022703.wav	ST3_Site5_67371018.220518022703.wav	217.2186	189	X	0	1	X	Y		
197	Spectrogram 1	1	28775.078810000	28775.951920000	22.727	318.182	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518022703.wav	ST3_Site5_67371018.220518022703.wav	272.7071	190	Y	1	0	X	G		
198	Spectrogram 1	1	28916.565770000	28916.804460000	696.970	1242.424	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518023203.wav	ST3_Site5_67371018.220518023203.wav	114.1473	191	X	0	1	X	Y		
199	Spectrogram 1	1	28919.322010000	28919.887340000	674.242	1992.424	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518023203.wav	ST3_Site5_67371018.220518023203.wav	116.9035	192	X	0	2	X	Y		
200	Spectrogram 1	1	28919.994120000	28920.609700000	22.727	1818.182	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518023203.wav	ST3_Site5_67371018.220518023203.wav	117.5756	193	Y	2	1	Y	BY		
201	Spectrogram 1	1	29219.724820000	29219.969790000	704.545	1371.212	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518023703.wav	ST3_Site5_67371018.220518023703.wav	117.3150	194	X	0	1	X	Y		
202	Spectrogram 1	1	29385.332730000	29385.546300000	1325.758	1643.939	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518023703.wav	ST3_Site5_67371018.220518023703.wav	282.9229	195	X	0	1	X	Y		
203	Spectrogram 1	1	29458.513840000	29459.072890000	681.818	1090.909	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518024203.wav	ST3_Site5_67371018.220518024203.wav	56.0412	196	X	0	1	X	Y		
204	Spectrogram 1	1	30787.233510000	30787.578990000	643.939	1007.576	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518030203.wav	ST3_Site5_67371018.220518030203.wav	184.6313	197	X	0	1	X	Y		
205	Spectrogram 1	1	30820.023890000	30821.229920000	598.485	1689.394	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518030203.wav	ST3_Site5_67371018.220518030203.wav	217.4217	198	X	0	1	X	Y		
206	Spectrogram 1	1	30821.619370000	30822.147010000	689.394	1371.212	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518030203.wav	ST3_Site5_67371018.220518030203.wav	219.0172	199	X	0	1	X	Y		
207	Spectrogram 1	1	30822.881930000	30823.196000000	772.727	1439.394	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518030203.wav	ST3_Site5_67371018.220518030203.wav	220.2798	200	X	0	1	X	Y		
208	Spectrogram 1	1	30953.820930000	30954.178970000	568.182	954.545	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518030703.wav	ST3_Site5_67371018.220518030703.wav	51.2551	201	X	0	1	X	Y		
209	Spectrogram 1	1	30954.511880000	30954.926460000	257.576	856.061	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518030703.wav	ST3_Site5_67371018.220518030703.wav	51.9460	202	X	0	1	X	Y		
210	Spectrogram 1	1	31010.358020000	31010.734900000	590.909	1075.758	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518030703.wav	ST3_Site5_67371018.220518030703.wav	107.7922	203	X	0	1	X	Y		
211	Spectrogram 1	1	31464.149390000	31464.375520000	454.545	1083.333	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518031203.wav	ST3_Site5_67371018.220518031203.wav	261.5437	204	X	0	1	X	Y		
212	Spectrogram 1	1	31796.271470000	31797.113180000	30.303	363.636	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518031703.wav	ST3_Site5_67371018.220518031703.wav	293.6175	205	Y	1	0	X	G		
213	Spectrogram 1	1	31934.136760000	31934.419430000	810.606	1363.636	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518032203.wav	ST3_Site5_67371018.220518032203.wav	131.4618	206	X	0	1	X	Y		
214	Spectrogram 1	1	32037.045800000	32037.680220000	810.606	1712.121	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518032203.wav	ST3_Site5_67371018.220518032203.wav	234.3708	207	X	0	1	X	Y		
215	Spectrogram 1	1	32038.616150000	32039.238010000	931.818	1689.394	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518032203.wav	ST3_Site5_67371018.220518032203.wav	235.9411	208	X	0	1	X	Y		
216	Spectrogram 1	1	32039.577210000	32040.525700000	462.121	1333.333	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518032203.wav	ST3_Site5_67371018.220518032203.wav	236.9022	209	X	0	1	X	Y		
217	Spectrogram 1	1	32589.767530000	32590.031350000	1166.667	1742.424	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518033203.wav	ST3_Site5_67371018.220518033203.wav	187.0735	210	X	0	1	X	Y		
219	Spectrogram 1	1	32993.485720000	32993.862610000	651.515	1310.606	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518033703.wav	ST3_Site5_67371018.220518033703.wav	290.7397	211	X	0	1	X	Y		
220	Spectrogram 1	1	32997.853350000	32998.525460000	507.576	1393.939	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518033703.wav	ST3_Site5_67371018.220518033703.wav	295.1074	212	X	0	1	X	Y		
221	Spectrogram 1	1	33003.456060000	33004.077920000	636.364	1787.879	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518034203.wav	ST3_Site5_67371018.220518034203.wav	0.6774	213	X	0	1	X	Y		
222	Spectrogram 1	1	33005.013850000	33005.811580000	757.576	1840.909	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518034203.wav	ST3_Site5_67371018.220518034203.wav	2.2352	214	X	0	1	X	Y		
223	Spectrogram 1	1	33006.188470000	33006.665860000	863.636	1371.212	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518034203.wav	ST3_Site5_67371018.220518034203.wav	3.4098	215	X	0	1	X	Y		
224	Spectrogram 1	1	33008.581460000	33009.215880000	719.697	1590.909	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518034203.wav	ST3_Site5_67371018.220518034203.wav	5.8028	216	X	0	1	X	Y		
225	Spectrogram 1	1	33009.643020000	33010.246030000	719.697	1674.242	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518034203.wav	ST3_Site5_67371018.220518034203.wav	6.8644	217	X	0	1	X	Y		
226	Spectrogram 1	1	33148.267600000	33148.506290000	916.667	1621.212	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518034203.wav	ST3_Site5_67371018.220518034203.wav	145.4889	218	X	0	1	X	Y		
227	Spectrogram 1	1	33150.679660000	33150.930910000	863.636	1621.212	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518034203.wav	ST3_Site5_67371018.220518034203.wav	147.9010	219	X	0	1	X	Y		
228	Spectrogram 1	1	33573.441970000	33574.264830000	863.636	1750.000	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518034703.wav	ST3_Site5_67371018.220518034703.wav	270.6866	220	X	0	1	X	Y		
229	Spectrogram 1	1	33597.160490000	33599.622800000	0.000	583.333	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518034703.wav	ST3_Site5_67371018.220518034703.wav	294.4052	221	Y	1	0	X	G		
230	Spectrogram 1	1	33652.468170000	33652.688020000	83.333	628.788	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	49.6345	222	Y	1	0	X	B		
231	Spectrogram 1	1	33652.933000000	33653.102600000	98.485	553.030	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	50.0993	223	Y	1	0	X	B		
232	Spectrogram 1	1	33656.838470000	33658.163840000	0.000	492.424	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	54.0048	224	Y	1	0	X	G		
233	Spectrogram 1	1	33659.050920000	33659.220520000	371.212	696.970	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	56.2172	225	X	0	1	X	Y		
234	Spectrogram 1	1	33659.528310000	33660.055940000	0.000	901.515	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	56.6946	226	Y	2	0	X	B		
235	Spectrogram 1	1	33660.610900000	33662.407380000	45.455	803.030	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	57.7772	227	Y	3	3	X	BY		
236	Spectrogram 1	1	33663.984470000	33665.498290000	30.303	750.000	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	61.1508	228	Y	3	3	X	BY		
237	Spectrogram 1	1	33667.089540000	33667.303100000	409.091	696.970	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	64.2559	229	X	0	1	X	Y		
238	Spectrogram 1	1	33667.723960000	33669.746570000	90.909	727.273	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	64.8903	230	Y	4	3	X	BY		
239	Spectrogram 1	1	33671.741030000	33672.507370000	53.030	727.273	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	68.9074	231	Y	2	0	X	B		
240	Spectrogram 1	1	33676.519740000	33676.745870000	378.788	674.242	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	73.6861	232	X	0	1	X	Y		
